Table 1.1.5. Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: January 26, 2018 - Next Release Date February 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Description,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,            Equipment,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660,713.6,766.1,711.5,659.6,669,719.2,790.7,856.1,885.8,825.1,644.3,731.8,838.2,937.9,982.8,1046.5,1081.9,1043.9,1098
12,            Intellectual property products,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,317.7,364,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,592.2,621.7,647.9,684.3,716.8,756.2,793
13,        Residential,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513,557.6,636.9,749.7,856.1,837.4,688.7,515.9,392.2,381.1,386,442.2,519.5,570.2,645.4,705.9,747.2
14,    Change in private inventories,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,61.8,92.4,78,111.9,35.1,13.8
15,Net exports of goods and services,-13.1,-12.5,-20,-51.6,-102.7,-114,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102,-162.7,-256.6,-375.8,-368.7,-426.5,-503.7,-619.2,-721.2,-770.9,-718.5,-723.1,-395.4,-512.7,-580,-565.7,-492,-509.5,-524,-521.2,-570.9
16,    Exports,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953,992,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2198.2,2276.6,2373.6,2264.9,2214.6,2343.9
17,        Goods,230.4,245.2,222.6,214,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,797.3,743.8,713.2,741.4,834.4,926.6,1049.6,1166.4,1298.8,1065.1,1279.6,1466.9,1526,1562.7,1617.9,1497.2,1446,1547.4
18,        Services,50.3,60,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,672.2,713.9,755.7,767.7,768.5,796.5
19,    Imports,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1248.6,1472.6,1395.4,1429,1543.9,1800.7,2030.1,2247.3,2383.2,2565,1983.2,2365,2686.4,2763.8,2768.6,2883.2,2789,2735.8,2914.8
20,        Goods,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.5,1176.7,1199.3,1296.2,1511.6,1719.4,1899.7,2003.8,2149.4,1590.3,1949.8,2244.7,2305.8,2301.5,2396.1,2290.5,2224.2,2380.8
21,        Services,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.7,229.6,247.7,289.1,310.7,347.6,379.4,415.6,392.9,415.2,441.6,458,467.1,487.1,498.5,511.6,534
22,Government consumption expenditures and gross investment,590.8,654.7,710,765.7,825.2,908.4,974.5,1030.8,1078.2,1151.9,1238.4,1298.2,1345.4,1366.1,1403.7,1452.2,1496.4,1554.2,1613.5,1726,1834.4,1958.8,2094.9,2220.8,2357.4,2493.7,2642.2,2801.9,3003.2,3089.1,3174,3168.7,3158.6,3116.1,3157,3218.9,3267.8,3353.3
23,    Federal,272.4,311.7,345.6,380.2,407.6,449.3,478.4,500.2,508.8,531.4,560,580.7,586.6,578.4,572.7,575.4,578.2,582.4,584.1,610.4,632.4,669.2,740.6,824.8,892.4,946.3,1002,1049.8,1155.6,1217.7,1303.9,1303.5,1292.5,1229.5,1218.1,1224,1231.5,1260.7
24,        National defense,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767,745.6,731.6,728.9,744.5
25,        Nondefense,91.4,100.5,102.8,110.8,113,123.3,129.2,130.3,129.2,142.7,157.3,168.8,181.9,188.3,192.4,199.3,201.7,211,216.4,227.7,240.7,256.5,283.8,304.9,322.1,338.1,359.6,371,401.5,429.4,471.1,466.5,474.7,462.5,472.5,492.4,502.6,516.2
26,    State and local,318.5,343,364.4,385.6,417.5,459.2,496.1,530.5,569.3,620.5,678.3,717.4,758.8,787.7,831.1,876.8,918.2,971.8,1029.4,1115.6,1202,1289.5,1354.3,1396,1465,1547.4,1640.2,1752.2,1847.6,1871.4,1870.2,1865.3,1866.1,1886.6,1938.9,1994.9,2036.3,2092.6
